Scholarship Name,Deadline,Amount,Description,Location,Years,Link
L. Gordon Bittle Memorial Scholarship,Unknown deadline,500,Applicant must be a current active member of the California Teachers Association who is pursuing a career in public education.,California,"['Master&#039;s-level study', 'College senior', 'College junior', 'College freshman', 'Doctoral-level study', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/l-gordon-bittle-memorial-scholarship
Mary Morrow/Edna Richards Scholarship,Unknown deadline,500,Applicant must be a North Carolina resident enrolled in a teacher-education program. Applicant must be in their junior year of college and be willing to teach in the public schools of North Carolina for a minimum of two years following graduation.,North Carolina,['College junior'],https://www.collegescholarships.org/financial-aid/scholarship/mary-morrowedna-richards-scholarship
"ASAA, Inc. Scholarship",Unknown deadline,500,"Applicant must be of Armenian ancestry, be a full-time student attending a four-year, accredited college or university in the U.S., and have completed at least the first year of college. Selection is based upon financial need, academic performance, ability for self-help, and participation in extracurricular activities. Applicant must submit CSS Profile Form. Request scholarship application in the fall.",No Geographic Restrictions,"['Doctoral-level study', 'College junior', 'College senior', 'Master&#039;s-level study', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/asaa-inc-scholarship
NAAS Awards,Unknown deadline,500,Applicant must be a U.S. citizen or permanent resident with a minimum 2.0 GPA who plans to attend an accredited four-year institution. Home-schooled applicants may be accepted on an individual basis. Selection is based upon scholastic excellence and outstanding character. SAT Reasoning or ACT required. Send self-addressed stamped envelope (#10) with a $3.00 handling fee for application and information packet.,No Geographic Restrictions,"['College freshman', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/naas-awards
Health Careers Scholarship,Unknown deadline,500,"Applicant must be a U.S. or Canadian citizen enrolled full time in an accredited school of study in the U.S. or Canada and submit resume, official transcripts, an itemized budget endorsed by the school&#039;s financial aid officer, and two letters of recommendation. Pre-med students are not eligible. Enclose two stamped, self-addressed, business-sized envelopes with inquiry.",New Jersey,"['College senior', 'College junior', 'Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/health-careers-scholarship
New York Council Navy League Scholarship,Unknown deadline,500,"Applicant must be the dependent of a regular/reserve Navy, Marine Corps, or Coast Guard service member who is serving on active duty, retired with pay, or died in the line of duty or after retirement. Applicant must be a resident of Connecticut, New Jersey, or New York.","Connecticut, New Jersey, New York","['College junior', 'College sophomore', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/new-york-council-navy-league-scholarship
University of British Columbia Scholarship,Unknown deadline,500,Scholarships are awarded on the basis of academic achievement primarily to undergraduate and professional degree applicants. Award is in Canadian dollars.,No Geographic Restrictions,"['College junior', 'College senior', 'Master&#039;s-level study', 'Doctoral-level study', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/university-of-british-columbia-scholarship
University of British Columbia Fellowship,Unknown deadline,500,Fellowships are awarded on the basis of academic merit. Award is in Canadian dollars.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/university-of-british-columbia-fellowship
Presidential Scholarship,Unknown deadline,500,Applicant must be a high school senior who has a minimum 3.5 GPA and a combined SAT score of 1020 or higher (ACT score of 22 or higher). Recipient must participate in the Presidential Scholarship Competition.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-1
Regents Scholarship,Unknown deadline,500,Applicant must be a new transfer or continuing student with a minimum 3.7 GPA and at least 30 credit hours.,United States,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/regents-scholarship
Recognition of Excellence Scholarship,Unknown deadline,500,Applicant must be a new transfer or continuing student with a minimum 3.5 GPA and at least 30 transferable credit hours.,United States,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/recognition-of-excellence-scholarship
"Presidential Scholarship ($1,500)",Unknown deadline,500,Applicant must have a minimum composite ACT score of 27 or comparable SAT I score and minimum 3.5 GPA as computed by the Office of Admissions.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-1500
"Presidential Scholarship ($3,000)",Unknown deadline,500,Applicant must have a minimum 3.5 GPA as computed by the Office of Admissions and a composite ACT score of 30 or SAT I equivalent.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-3000
Junior College Transfer Scholarship,Unknown deadline,500,Applicant must have a satisfactory minimum cumulative GPA.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/junior-college-transfer-scholarship
"Presidential Scholarship ($4,000)",Unknown deadline,500,Applicant must have a minimum 3.5 GPA as computed by the Office of Admissions and a minimum composite ACT score of 33 or SAT I equivalent.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-4000
Schillig-Baird and Presidential Scholarship,Unknown deadline,500,Applicant must be a National Merit finalist or have a minimum composite ACT score of 30 or combined SAT I score of 1310. Interview is required. Recipient must enroll in the Honors College.,No Geographic Restrictions,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/schillig-baird-and-presidential-scholarship
Academic Excellence Scholarship,Unknown deadline,500,Applicant must have a minimum 3.0 GPA and have a minimum composite ACT score of 28 or be a National Achievement semifinalist.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/academic-excellence-scholarship
Isaac Bashevis Singer Scholarship,Unknown deadline,500,Applicant must be a full-time student who is able to demonstrate significant academic achievement above and beyond the average academic profile of a student admitted in the university&#039;s freshman class. Minimum combined SAT Reasoning score of 1350 (composite ACT score of 31) required in order to receive consideration.,No Geographic Restrictions,"['High school senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/isaac-bashevis-singer-scholarship
Oregon Laurels Scholarship,Unknown deadline,500,Applicant must have a minimum 3.25 GPA. Preference is given to Oregon residents.,Oregon,"['College junior', 'College sophomore', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/oregon-laurels-scholarship
Nancy Ryles Scholarship,Unknown deadline,500,Applicant must be a woman returning to school after break in education due to family responsibilities. Selection is based upon financial need and potential for academic success.,No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/nancy-ryles-scholarship
Presidential Scholarship,Unknown deadline,500,Applicant must have minimum 3.75 GPA. Selection is based upon academic potential to succeed in college.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-2
Oregon Laurels Graduate Tuition Remission,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident. Oregon residents are given preference. Selection is based upon academic merit, statement of goals, faculty recommendations, and gender and ethnicity as related to university&#039;s goals for achieving student diversity.",Oregon,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/oregon-laurels-graduate-tuition-remission
Elsa Jorgenson Award,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident. Selection is based upon statement of goals, academic merit, faculty recommendations, and financial need. Every applicant must also receive a full tuition remission from another source for the award year.",United States,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/elsa-jorgenson-award
Robert and Rosemary Low Memorial Scholarship,Unknown deadline,500,"Selection is based upon academic merit, statement of goals, faculty recommendations, and physical disability. Financial need is considered but not required.",No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/robert-and-rosemary-low-memorial-scholarship
Angier B. Duke Scholarship,Unknown deadline,500,Applicant must have high academic qualifications as determined by the A.B. Duke Selection Committee. Scholarship is awarded at the time of admission; no first time awards are made to upperclassmen.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/angier-b-duke-scholarship
Bishop Charles P. Greco Graduate Fellowship,Unknown deadline,500,"Applicant must be a member or the wife, son, or daughter of a member of the Knights of Columbus. Award is for preparation of classroom teachers of children with intellectual disabilities.",United States,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/bishop-charles-p-greco-graduate-fellowship
First Generation Award,Unknown deadline,500,Applicant must be a Colorado resident who is a first-generation college student. Financial need required.,Colorado,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/first-generation-award
McPherson Undergraduate Scholarship,Unknown deadline,500,"Applicant must be a San Luis Valley, CO, resident with strong academic potential and financial need.",Colorado,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/mcpherson-undergraduate-scholarship
Beau Mitchell Memorial Scholarship,Unknown deadline,500,Applicant should preferably be a non-resident student who is a former member of the Boy Scouts of America with strong moral character and an orientation toward the outdoors. Financial need required.,"District of Columbia, New York, North Dakota, Kentucky, Massachusetts, Kansas, Alaska, Wisconsin, Nevada, California, New Jersey, Iowa, Georgia, New Mexico, North Carolina, Maryland, Alabama, Wyoming, Arkansas, West Virginia, Ohio, Florida, Tennessee, New Hampshire, Minnesota, Illinois, Hawaii, South Dakota, Vermont, Indiana, Pennsylvania, Missouri, South Carolina, Louisiana, Montana, Oklahoma, Texas, Utah, Connecticut, Virginia, Washington, Delaware, Idaho, Michigan, Arizona, Maine, Oregon, Mississippi, Rhode Island, Nebraska","['College senior', 'College junior', 'College freshman', 'Doctoral-level study', 'Master&#039;s-level study', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/beau-mitchell-memorial-scholarship
Margery Monfort Wilson Scholarship,Unknown deadline,500,Applicant must be a Colorado resident with financial need.,No Geographic Restrictions,"['Doctoral-level study', 'College freshman', 'College sophomore', 'Master&#039;s-level study', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/margery-monfort-wilson-scholarship
National Merit Supplemental Scholarship,Unknown deadline,500,Applicant must have National Merit status.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/national-merit-supplemental-scholarship
Alumni Scholarship,Unknown deadline,500,Description not available,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/alumni-scholarship-2
Cullen Leadership Scholarship,Unknown deadline,500,Applicant must submit two letters of recommendation and essay detailing leadership activities.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/cullen-leadership-scholarship
Merit Awards Program,Unknown deadline,500,Applicant must have a minimum 3.5 GPA and a combined SAT score of 1200 on the critical reading and math sections (ACT composite score of 26 or higher).,No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/merit-awards-program
Presidential Scholarship,Unknown deadline,500,Applicant must be an entering freshman with a minimum 3.9 high school GPA and minimum composite ACT score of 31.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-3
Distinguished Scholar Award,Unknown deadline,500,Applicant must be an entering freshman with a minimum high school GPA between 3.8 and 3.89 and a minimum composite ACT score of 27 or have a minimum 3.9 GPA and minimum composite ACT score between 27 and 30.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/distinguished-scholar-award
Geographic Region Award,Unknown deadline,500,"Applicant must be an entering freshman who is residing in Michigan counties outside of Macomb, Oakland, or Wayne who wish to live on campus. Minimum 3.0 GPA required. Recipients of award are required to live in university housing for their first two years.","Alcona, Alger, Allegan, Alpena, Antrim, Arenac, Baraga, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Dickinson, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Ionia, Iosco, Iron, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Keweenaw, Lake, Lapeer, Leelanau, Lenawee, Livingston, Luce, Mackinac, Manistee, Marquette, Mason, Mecosta, Menominee, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, Saint Clair, Saint Joseph, Sanilac, Schoolcraft, Shiawassee, Tuscola, Van Buren, Washtenaw, Wexford",['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/geographic-region-award
Anibal Excellence Scholarship,Unknown deadline,500,Applicant must be an entering freshman with a minimum high school GPA between 3.2 and 3.39 and a minimum composite ACT score of 22 or have a minimum 3.4 GPA and minimum composite ACT score of 22.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/anibal-excellence-scholarship
Legacy Scholarship,Unknown deadline,500,Applicant must be the child or grandchild of an Oakland University alumni. Applicant must be a high school senior who has been admitted and plans to attend the university their freshman year as a full-time student. Minimum 3.0 GPA and minimum composite ACT score of 21 required.,No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/legacy-scholarship
Presidential Scholarship,Unknown deadline,500,Applicant must demonstrate intellectual or creative distinction. Selection is not based solely upon academic achievements. Applicant should have a minimum cumulative GPA of 3.8 and a minimum composite ACT score of 30 (combined SAT score of 1300).,No Geographic Restrictions,"['College senior', 'College junior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-4
Heisey Foundation Scholarship,Unknown deadline,500,Applicant must demonstrate financial need and have graduated from one of 31 designated high schools in Montana.,Montana,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/heisey-foundation-scholarship
Chamberlain Memorial Scholarship,Unknown deadline,500,"Applicant must be a woman, who is a full-time student, a resident of Montana, and is able to demonstrate financial need.",Montana,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/chamberlain-memorial-scholarship
Katharine L. Morningstar Scholarship,Unknown deadline,500,"Applicant must be a Montana resident and have a minimum 2.5 GPA. Preference to Madison County, MT high school graduates.",Montana,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/katharine-l-morningstar-scholarship
Roy Wilkins Scholarship,Unknown deadline,500,Applicant must be an entering college freshman with at least a 2.5 (C+) GPA. Applicant must be a citizen of the United States and seeking enrollment in an accredited college in the United States. Undergraduate applicants must be full-time students and NAACP membership is highly desirable. The Roy Wilkins Scholarship is not renewable. Please refer to the NAACP National website or call the NAACP National Education Department at 410 580-5760 for more information.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/roy-wilkins-scholarship
Freshman Fee Waiver for Oklahoma Residents,Unknown deadline,500,Selection is based upon GPA and ACT scores.,Oklahoma,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/freshman-fee-waiver-for-oklahoma-residents
Nonresident Incentive Tuition Waiver,Unknown deadline,500,"Applicant must be a nonresident of Oklahoma, have high GPA and ACT scores, and be the child or grandchild of OSU alumni/ae.","Kansas, West Virginia, Ohio, Virginia, Utah, Colorado, Rhode Island, South Dakota, Vermont, Nebraska, Missouri, Montana, Louisiana, Alabama, Georgia, Michigan, Oregon, Hawaii, Nevada, California, Florida, Texas, Indiana, Idaho, Massachusetts, Iowa, Alaska, South Carolina, Tennessee, Arkansas, New York, Delaware, Illinois, Pennsylvania, North Carolina, New Mexico, Maine, New Hampshire, Connecticut, Arizona, New Jersey, Washington, Minnesota, Wyoming, Kentucky, Mississippi, North Dakota, Wisconsin, Maryland",['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/nonresident-incentive-tuition-waiver
Fee Waiver for Oklahoma Resident Transfer Student,Unknown deadline,500,Selection is based upon college GPA with at least 24 hours completed.,Oklahoma,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/fee-waiver-for-oklahoma-resident-transfer-student
Trustee Scholarship,Unknown deadline,500,"Applicant must be nominated by his or her high school. Selection is based upon academic performance and potential, leadership, and community involvement. Scholarship-specific essay required.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/trustee-scholarship
Dean&#039;s Scholarship,Unknown deadline,500,Applicant is selected by the dean of each school and college within the university on the basis of outstanding academic performance and potential. Award is for applicants who demonstrate low or no calculated financial need.,No Geographic Restrictions,"['College junior', 'College sophomore', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/deans-scholarship
Presidential Scholarship,Unknown deadline,500,Selection is based upon exceptionally strong high school academic record.,No Geographic Restrictions,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-5
Boettcher Foundation Scholarship,Unknown deadline,500,"Applicant must have resided in Colorado during their junior and senior year of high school and be attending an institution in Colorado. Applicant must be a U.S. citizen, rank in the top 5% of class, and have a minimum combined SAT score of 1200 (Critical Reading and Math only) or a composite ACT score of 27.",Colorado,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/boettcher-foundation-scholarship
Cal Grant A,Unknown deadline,500,"Applicant must be a California resident attending a California educational institution, demonstrate financial need, and have satisfactory academic qualifications. Applicant must have a minimum 3.0 GPA.",California,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/cal-grant-a
Cal Grant B,Unknown deadline,500,Applicant must be a California resident attending a California educational institution. Applicant must have a minimum 2.0 GPA. Selection is based upon financial need and academic qualifications; disadvantaged background increases likelihood of receiving award.,California,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/cal-grant-b
Cal Grant C,Unknown deadline,500,"Applicant must be a California resident pursuing a vocationally-oriented course of study at a two-year community college, two-year program within a college, or vocational school in California. Selection is based upon financial need, academic qualifications, and aptitude, interest, and experience in chosen vocational field.",California,"['College junior', 'College freshman', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/cal-grant-c
Women&#039;s Western Golf Foundation Scholarship,Unknown deadline,500,"Applicant must be a woman and a U.S. citizen. Selection is based upon academic achievement, financial need, excellence of character, and involvement with the sport of golf. Skill or excellence in the sport of golf is not a criterion.",United States,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/womens-western-golf-foundation-scholarship
Dwight D. Gardner Scholarship,Unknown deadline,500,"Applicant must be an active IIE member, be enrolled full time, and have a minimum 3.4 GPA. Selection is based upon scholastic ability, character, leadership, potential service to the profession, and financial need.",No Geographic Restrictions,"['College sophomore', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/dwight-d-gardner-scholarship
Vincent T. Wasilewski Scholarship,Unknown deadline,500,"Applicant must be enrolled at a BEA-member institution. Selection is based upon substantial evidence of superior academic performance and potential to be an outstanding contributor to electronic media. Applicant must communicate interest in the broadcasting industry, and show evidence of high integrity, personal responsibilty, and professional responsibility.",No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/vincent-t-wasilewski-scholarship
General Leadership Grant,Unknown deadline,500,"Applicant must have a minimum 3.0 GPA, be a full-time student, and a member of the Sigma Chi fraternity.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/general-leadership-grant
Slovenian Women&#039;s Union Scholarship Program,Unknown deadline,500,"Students must be high school seniors, current college students or adult part time students at an accredited school.  Applicants must be or become members of the SUA. High school senior applications must include a photo, FAFSA, a letter of recommendation from high school principal or teacher, brief autobiography, including personal and educational goals, a high school transcript including SAT and ACT scores, a letter of recommendation from an SWUA branch officer and a financial statement from their parents. College student applications must include a photo, FAFSA, a brief autobiography including personal and educational goals, letters of recommendation from a college professor/instructor and an SWUA branch officer and grade transcripts from the last two semesters. The committee considers life goals, scholastic achievement, financial need and involvement in school, church and community.",United States,"['College junior', 'High school senior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/slovenian-womens-union-scholarship-program
Marshall Foundation Scholarship,Unknown deadline,500,"Applicant must be an Arizona resident, graduate of an Arizona high school, U.S. citizen or permanent resident, a woman, and demonstrate financial need. Preference is given to ethnic minorities.",Arizona,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/marshall-foundation-scholarship
Baird Foundation Scholarship,Unknown deadline,500,"Applicant must be an Arizona resident, U.S. citizen or permanent resident, and demonstrate academic excellence.",Arizona,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/baird-foundation-scholarship
Robert L. Nugent Scholarship,Unknown deadline,500,"Selection is based upon academic ability, extracurricular activities, and community service.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/robert-l-nugent-scholarship
Eileen Phillips Cohen Music Scholarship,Unknown deadline,500,"Selection is based upon audition, musical talent, and good citizenship. Financial need may be considered.",No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/eileen-phillips-cohen-music-scholarship
Clara B. Small Scholarship,Unknown deadline,500,Applicant must be a nontraditional student with a minimum 3.5 GPA who is enrolled at least half-time in the School of Arts and Sciences or the School of Education. One award is for an English major.,No Geographic Restrictions,"['College senior', 'Doctoral-level study', 'Master&#039;s-level study', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/clara-b-small-scholarship
Chancellor&#039;s Scholarship,Unknown deadline,500,"Selection is based upon academic achievement, school and community leadership, and service. Applicant must have a minimum composite ACT score of 25 (combined SAT I score of 1350) and rank in top quarter of secondary school class.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/chancellors-scholarship
Diversity Achievement Scholarship,Unknown deadline,500,Applicant must be a minority student who ranks in the top quarter of graduating class. Transfer student must have a minimum 3.0 GPA.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/diversity-achievement-scholarship
Renewable Admission Scholarship,Unknown deadline,500,Scholarships are allocated to all applicants at the time of admission. Applicant must be a Canadian citizen or permanent resident with a minimum grade average of 82 who is enrolled in one of the direct-access faculties or the Faculty of Law (Droit Civil). Award is in Canadian dollars.,Canada,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/renewable-admission-scholarship
Chancellor&#039;s Scholarship,Unknown deadline,500,"Applicant must be a Canadian citizen or permanent resident, with a minimum 92 admission average including six OACs or equivalent, and must meet extracurricular or community excellence criteria. Award is in Canadian dollars.",Canada,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/chancellors-scholarship-1
Merit Scholarship,Unknown deadline,500,Selection is based upon GPA; the value varies from one faculty to another. Scholarship is awarded by the faculty at the time of re-enrollment in an undergraduate program. Applicant must be a Canadian citizen or permanent resident.,Canada,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/merit-scholarship
Scholarship for Winners of the Concours Provincial de Francais of the Alumni Association,Unknown deadline,500,"Applicant must attend an Ontario secondary school and compete in the &quot;Concours provincial de francais,&quot; and be enrolled in one of the direct-access faculties.",Canada,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-winners-of-the-concours-provincial-de-francais-of-the-alumni-association
Scholarship for Winners of the English High School Debating Society,Unknown deadline,500,Applicant must be a grand champion of the English High School Debating Society competition and be a Canadian citizen or permanent resident. Award is in Canadian dollars.,Canada,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-winners-of-the-english-high-school-debating-society
Support Staff Scholarship,Unknown deadline,500,Applicant must be a bilingual student who has demonstrated academic excellence and community and university involvement. Applicant must be a Canadian citizen or permanent resident.,Canada,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/support-staff-scholarship
Professional Training Scholarship,Unknown deadline,500,Applicant must be a Canadian citizen or permanent resident. Selection is based upon academic merit. Award is in Canadian dollars.,Canada,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/professional-training-scholarship
Arcade Guindon Scholarship,Unknown deadline,500,"Applicant must be Canadian or a permanent resident. Selection is based upon academic excellence, involvement in community and university life, and understanding of bilingualism and biculturalism.",Canada,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/arcade-guindon-scholarship
Edward D. Stone Jr. and Associates Minority Scholarship,Unknown deadline,500,"Applicant must be a minority student and submit an essay, financial aid forms, color slides or black-and-white photographs of best work, and two letters of recommendation.",No Geographic Restrictions,"['College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/edward-d-stone-jr-and-associates-minority-scholarship
Bowman Scholarship,Unknown deadline,500,Applicant must have a minimum 3.2 cumulative GPA.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/bowman-scholarship
Creative Arts Award,Unknown deadline,500,Selection is based upon academic and artistic performance.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/creative-arts-award
Elaine Schwebel Winick Scholarship,Unknown deadline,500,Applicant must be the child of an employee of Schwebel Baking Co.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/elaine-schwebel-winick-scholarship
Loretta M. Antl Scholarship,Unknown deadline,500,Applicant must have minimum cumulative GPA of 2.5.,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/loretta-m-antl-scholarship
Mason Scholarship,Unknown deadline,500,Applicant must have financial need and a good academic record. Ohio residents are preferred; Masonic affiliation not required.,Ohio,"['College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/mason-scholarship
Romanian Scholarship,Unknown deadline,500,Applicant must have a minimum 3.0 cumulative GPA and a general knowledge of Romanian history and literature.,No Geographic Restrictions,"['Doctoral-level study', 'College senior', 'Master&#039;s-level study', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/romanian-scholarship
Scholarship for Excellence,Unknown deadline,500,Applicant must be the valedictorian of an Ohio high school.,Ohio,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-excellence
Sachs Foundation Scholarship,Unknown deadline,500,Applicant must be an African-American/Black high school senior who has been a resident of Colorado for a minimum of five years. Minimum 3.0 GPA and financial need are required.,Colorado,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/sachs-foundation-scholarship
ACL/NJCL National Latin Exam Scholarship,Unknown deadline,500,Applicant must take the ACL/NJCL National Latin Exam. Scholarship letters with instructions for how to apply will be automatically mailed to those who qualify based on exam results.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/aclnjcl-national-latin-exam-scholarship
Cloisters Summer Internship for College Students,Unknown deadline,500,Preference is given to first- and second-year students. Award includes intensive training in museum teaching techniques. Recipient will conduct gallery workshops for groups of New York City day campers in the Cloisters (a medieval European branch museum).,No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/cloisters-summer-internship-for-college-students
Chick Evans Caddie Scholarship,Unknown deadline,500,"Applicant must have a strong caddie record, excellent academics, outstanding character, and be able to demonstrate financial need. High school evaluation, caddie evaluation, and official financial documentation including a copy of parents&#039; most recent federal tax return and the required College Scholarship Service Financial Aid Profile are required.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/chick-evans-caddie-scholarship
James Michael Haskell Memorial Scholarship,Unknown deadline,500,Awarded to the most outstanding students from Washington state who also demonstrate financial need. Separate application is not required.,Washington,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/james-michael-haskell-memorial-scholarship
Multicultural Achievement Program Scholarship,Unknown deadline,500,Applicant must demonstrate a commitment to multicultural issues and activities.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/multicultural-achievement-program-scholarship
